event_id,session_id,timestamp,event_type,honeypot_id,src_ip,src_port,dst_ip,dst_port,protocol,username,password,login_success,command,command_index,country,asn,isp,attack_type,mitre_technique_id,mitre_technique_name,severity,file_downloaded,c2_ip,sha256_payload,session_duration_sec,bytes_sent,bytes_received,alert_tag,false_positive,thehive_case_id,misp_event_uuid,analyst_note
EVT-0000001,8e1e0df2d668,2026-04-23T04:29:35.000Z,cowrie.session.connect,cowrie-ec2-prod-01,227.57.229.154,60364,172.18.0.3,2222,ssh,,,,,,MA,AS36903,Maroc Telecom,log_tampering,T1078,Valid Accounts,high,,,,,,,honeypot_hit,false,,,
EVT-0000002,8e1e0df2d668,2026-04-23T04:29:35.214Z,cowrie.client.version,cowrie-ec2-prod-01,227.57.229.154,60364,172.18.0.3,2222,ssh,,,,,,MA,AS36903,Maroc Telecom,log_tampering,T1078,Valid Accounts,high,,,,,,,honeypot_hit,false,,,
EVT-0000003,8e1e0df2d668,2026-04-23T04:29:35.402Z,cowrie.client.kex,cowrie-ec2-prod-01,227.57.229.154,60364,172.18.0.3,2222,ssh,,,,,,MA,AS36903,Maroc Telecom,log_tampering,T1078,Valid Accounts,high,,,,,,,honeypot_hit,false,,,
EVT-0000004,8e1e0df2d668,2026-04-23T04:29:37.938Z,cowrie.login.success,cowrie-ec2-prod-01,227.57.229.154,60364,172.18.0.3,2222,ssh,ec2-user,raspberry,true,,,MA,AS36903,Maroc Telecom,log_tampering,T1078,Valid Accounts,high,,,,,,,honeypot_hit,false,,,
EVT-0000005,8e1e0df2d668,2026-04-23T04:29:44.402Z,cowrie.command.input,cowrie-ec2-prod-01,227.57.229.154,60364,172.18.0.3,2222,ssh,ec2-user,raspberry,true,last | head -20,0,MA,AS36903,Maroc Telecom,log_tampering,T1078,Valid Accounts,high,,,,,,,honeypot_hit,false,,,
EVT-0000006,8e1e0df2d668,2026-04-23T04:29:57.653Z,cowrie.command.input,cowrie-ec2-prod-01,227.57.229.154,60364,172.18.0.3,2222,ssh,ec2-user,raspberry,true,hostname,1,MA,AS36903,Maroc Telecom,log_tampering,T1078,Valid Accounts,high,,,,,,,honeypot_hit,false,,,
EVT-0000007,8e1e0df2d668,2026-04-23T04:30:04.523Z,cowrie.command.input,cowrie-ec2-prod-01,227.57.229.154,60364,172.18.0.3,2222,ssh,ec2-user,raspberry,true,uname -s -r,2,MA,AS36903,Maroc Telecom,log_tampering,T1078,Valid Accounts,high,,,,,,,honeypot_hit,false,,,
EVT-0000008,8e1e0df2d668,2026-04-23T04:30:12.531Z,cowrie.command.input,cowrie-ec2-prod-01,227.57.229.154,60364,172.18.0.3,2222,ssh,ec2-user,raspberry,true,hostname -f,3,MA,AS36903,Maroc Telecom,log_tampering,T1078,Valid Accounts,high,,,,,,,honeypot_hit,false,,,
EVT-0000009,8e1e0df2d668,2026-04-23T04:30:15.254Z,cowrie.command.input,cowrie-ec2-prod-01,227.57.229.154,60364,172.18.0.3,2222,ssh,ec2-user,raspberry,true,cat /etc/os-release,4,MA,AS36903,Maroc Telecom,log_tampering,T1078,Valid Accounts,high,,,,,,,honeypot_hit,false,,,
EVT-0000010,8e1e0df2d668,2026-04-23T04:30:26.788Z,cowrie.command.input,cowrie-ec2-prod-01,227.57.229.154,60364,172.18.0.3,2222,ssh,ec2-user,raspberry,true,pkill -f 'sshd: root',5,MA,AS36903,Maroc Telecom,log_tampering,T1078,Valid Accounts,high,,,,,,,honeypot_hit,false,,,
